time(ms),QueueDensity,DynamicDensity
10,6.95293e-310,6.95293e-310
20,0.0240976,0.0195091
30,0.0320144,0.0104998
40,0.0225135,0.0214132
50,0.0261344,0.0206016
60,0.0378515,0.0109095
70,0.0312652,0.0194544
80,0.0292558,0.0211166
90,0.0395137,0.0114479
100,0.0319325,0.0211634
110,0.0326153,0.0213312
120,0.040294,0.0136564
130,0.0349642,0.020465
140,0.0362713,0.0202426
150,0.0448279,0.011963
160,0.036919,0.0196769
170,0.0387021,0.017882
180,0.0452571,0.0119239
190,0.0410276,0.0170392
200,0.0395605,0.0185219
210,0.0468998,0.0114128
220,0.0415348,0.0172343
230,0.0415738,0.0177298
240,0.0482615,0.0111436
250,0.0414139,0.0176557
260,0.0418079,0.0196417
270,0.0498457,0.0120995
280,0.0439149,0.0203402
290,0.0451869,0.0204806
300,0.0531349,0.0128058
310,0.0451752,0.0207381
320,0.0455966,0.0203597
330,0.0527213,0.0131218
340,0.0459868,0.0198758
350,0.0459673,0.0201568
360,0.05365,0.0129852
370,0.0477699,0.0189355
380,0.0475982,0.0184985
390,0.0532832,0.0132115
400,0.0483552,0.0177728
410,0.0486127,0.0171953
420,0.0529086,0.0127745
430,0.0491785,0.0167544
440,0.0495687,0.016532
450,0.0506495,0.0134066
460,0.0486322,0.0160794
470,0.0489483,0.0165398
480,0.0543757,0.0117132
490,0.0504739,0.0158141
500,0.0513713,0.0152912
510,0.056112,0.0107456
520,0.0517381,0.0151586
530,0.0513362,0.01677
540,0.0576025,0.0114674
550,0.0516951,0.0189043
560,0.0529944,0.0196534
570,0.063186,0.0108275
580,0.0567558,0.0188848
590,0.0584063,0.0188575
600,0.0662021,0.0123141
610,0.0614965,0.0192242
620,0.0595183,0.0208396
630,0.0698581,0.0105934
640,0.0604781,0.0195949
650,0.0620037,0.0166451
660,0.0698932,0.00821332
670,0.0640366,0.0135627
680,0.0635293,0.0139568
690,0.0705799,0.00697254
700,0.0616838,0.0133247
710,0.0636074,0.012002
720,0.0694016,0.0070857
730,0.0634279,0.0127823
740,0.0630806,0.0131062
750,0.0673063,0.00847084
760,0.0614263,0.0137851
770,0.0613638,0.013274
780,0.0659758,0.00814699
790,0.0592452,0.0144094
800,0.0597134,0.0150298
810,0.0645204,0.0106949
820,0.0609815,0.0154551
830,0.0603338,0.0169261
840,0.0663816,0.0109446
850,0.0591983,0.0211517
860,0.0616409,0.0224706
870,0.0712471,0.0143392
880,0.0674468,0.0220374
890,0.0682232,0.0239259
900,0.0768697,0.0162237
910,0.0668927,0.0270786
920,0.0659758,0.0284481
930,0.0753401,0.0200397
940,0.0648052,0.0312887
950,0.0575284,0.0366615
960,0.0757732,0.0184985
970,0.0648247,0.0306449
980,0.0660148,0.0293026
990,0.0777671,0.0180771
1000,0.0683325,0.0275039
1010,0.0698893,0.0261929
1020,0.0801277,0.0162706
1030,0.0723826,0.0251667
1040,0.0708023,0.0261187
1050,0.0814114,0.015498
1060,0.0704395,0.0262904
1070,0.0702249,0.0264348
1080,0.0795307,0.0175894
1090,0.0691519,0.0298177
1100,0.0724177,0.0290217
1110,0.0855902,0.0174099
1120,0.0774471,0.0278121
1130,0.0805842,0.0275312
1140,0.0911074,0.0176908
1150,0.0824961,0.0283974
1160,0.0808222,0.0303639
1170,0.0916809,0.0200748
1180,0.0803189,0.0324085
1190,0.0796907,0.0329118
1200,0.0871782,0.024796
1210,0.0790937,0.0328884
1220,0.0780636,0.0342267
1230,0.0904011,0.0221272
1240,0.0794878,0.0337156
1250,0.0796165,0.0336375
1260,0.0918799,0.021975
1270,0.0797921,0.0336024
1280,0.078126,0.0343009
1290,0.0904831,0.0222716
1300,0.078844,0.0336102
1310,0.0792302,0.0331849
1320,0.0911074,0.0208396
1330,0.0796087,0.0317374
1340,0.0802252,0.0309531
1350,0.0910567,0.0198095
1360,0.080791,0.0305239
1370,0.0835535,0.0276873
1380,0.0945332,0.0168207
1390,0.0851688,0.026864
1400,0.0852039,0.0266221
1410,0.0960042,0.0158726
1420,0.085797,0.0257715
1430,0.089531,0.0223613
1440,0.0996953,0.0125795
1450,0.0888443,0.0237581
1460,0.0936279,0.0190096
1470,0.102005,0.0107534
1480,0.0930466,0.0202231
1490,0.094143,0.0192555
1500,0.102329,0.0109875
1510,0.0963319,0.0165749
1520,0.0963514,0.0153653
1530,0.102469,0.00947361
1540,0.0938074,0.0172148
1550,0.0951106,0.015498
1560,0.100796,0.00972332
1570,0.0918682,0.0163369
1580,0.0929139,0.0154473
1590,0.100718,0.00719495
1600,0.0948219,0.0135354
1610,0.093823,0.0140856
1620,0.10021,0.00798311
1630,0.0926057,0.01526
1640,0.0926408,0.0140856
1650,0.0995821,0.00746027
1660,0.0950716,0.0114986
1670,0.0940923,0.0121073
1680,0.0991451,0.00701936
1690,0.0936006,0.0116781
1700,0.0854536,0.016212
1710,0.0945683,0.0070974
1720,0.0890901,0.0123024
1730,0.0905416,0.0109719
1740,0.0965816,0.00491238
1750,0.0920672,0.00948141
1760,0.0914507,0.0100082
1770,0.0974634,0.00470169
1780,0.0911698,0.0104998
1790,0.0919424,0.00944239
1800,0.0981931,0.00359357
1810,0.0942327,0.00785825
1820,0.0948063,0.00717934
1830,0.0993207,0.0027937
1840,0.0934563,0.00826795
1850,0.094896,0.0075227
1860,0.0999411,0.00284052
1870,0.09593,0.0060166
1880,0.0963046,0.0053689
1890,0.100799,0.00130321
1900,0.0988681,0.0036599
1910,0.0985403,0.00397205
1920,0.101034,0.00159974
1930,0.0995041,0.00254398
1940,0.0995938,0.00240742
1950,0.0971279,0.00498262
1960,0.100386,0.00201724
1970,0.100585,0.00200553
1980,0.100796,0.00158804
1990,0.0999411,0.0025713
2000,0.100179,0.002583
2010,0.101763,0.00118615
