Time(s),Queue Density,Dynamic Density
0.0666667,0.0406765,0
0.133333,0.0401028,0
0.2,0.0393497,0
0.266667,0.0403897,0
0.333333,0.0425891,0
0.4,0.0443223,0
0.466667,0.0466651,0
0.533333,0.0468922,0
0.6,0.0468205,0
0.666667,0.0492709,0
0.733333,0.0499044,0
0.8,0.0501673,0
0.866667,0.051028,0
0.933333,0.0522831,0
1,0.0528807,0
1.06667,0.0528688,0
1.13333,0.0526416,0
1.2,0.0530002,0
1.26667,0.0538848,0
1.33333,0.0531437,0
1.4,0.0537772,0
1.46667,0.0545541,0
1.53333,0.054841,0
1.6,0.0546378,0
1.66667,0.0542195,0
1.73333,0.0564667,0
1.8,0.0567894,0
1.86667,0.0589649,0
1.93333,0.0600167,0
2,0.0597418,0
2.06667,0.0602319,0
2.13333,0.0608654,0
2.2,0.0604949,0
2.26667,0.0599928,0
2.33333,0.0610447,0
2.4,0.0612718,0
2.46667,0.0614631,0
2.53333,0.0610208,0
2.6,0.0616185,0
2.66667,0.0603514,0
2.73333,0.0602199,0
2.8,0.0599092,0
2.86667,0.0600287,0
2.93333,0.0601004,0
3,0.059192,0
3.06667,0.0593235,0
3.13333,0.0598852,0
3.2,0.0603036,0
3.26667,0.0600167,0
3.33333,0.0600287,0
3.4,0.0605905,0
3.46667,0.0599092,0
3.53333,0.0610567,0
3.6,0.0624432,0
3.66667,0.0635788,0
3.73333,0.065826,0
3.8,0.0665551,0
3.86667,0.0683122,0
3.93333,0.0704399,0
4,0.0717308,0
4.06667,0.0734162,0
4.13333,0.074241,0
4.2,0.0744561,0
4.26667,0.0734043,0
4.33333,0.0715635,0
4.4,0.0711571,0
4.46667,0.0708941,0
4.53333,0.0705355,0
4.6,0.0706192,0
4.66667,0.068372,0
4.73333,0.0683959,0
4.8,0.0693402,0
4.86667,0.0692804,0
4.93333,0.068874,0
5,0.068121,0
5.06667,0.0674755,0
5.13333,0.0665551,0
5.2,0.0664953,0
5.26667,0.0662443,0
5.33333,0.0672603,0
5.4,0.0677504,0
5.46667,0.0684796,0
5.53333,0.0691609,0
5.6,0.0689577,0
5.66667,0.071695,0
5.73333,0.0755917,0
5.8,0.0763567,0
5.86667,0.0800502,0
5.93333,0.0828233,0
6,0.0836959,0
6.06667,0.0847239,0
6.13333,0.0846522,0
6.2,0.0852737,0
6.26667,0.0867559,0
6.33333,0.0856084,0
6.4,0.0863495,0
6.46667,0.0878915,0
6.53333,0.0877361,0
6.6,0.0874014,0
6.66667,0.0871145,0
6.73333,0.0869711,0
6.8,0.0874851,0
6.86667,0.0881664,0
6.93333,0.0873894,0
7,0.0875926,0
7.06667,0.0866244,0
7.13333,0.0868754,0
7.2,0.0859192,0
7.26667,0.0882979,0
7.33333,0.0911308,0
7.4,0.0928162,0
7.46667,0.0946211,0
7.53333,0.097705,0
7.6,0.0975974,0
7.66667,0.100311,0
7.73333,0.100227,0
7.8,0.100717,0
7.86667,0.100968,0
7.93333,0.100765,0
8,0.100765,0
8.06667,0.0994502,0
8.13333,0.100191,0
8.2,0.100466,0
8.26667,0.100514,0
8.33333,0.10049,0
8.4,0.100562,0
8.46667,0.100657,0
8.53333,0.099247,0
8.6,0.0998685,0
8.66667,0.0998805,0
8.73333,0.099737,0
8.8,0.099247,0
8.86667,0.0991513,0
8.93333,0.0988286,0
9,0.0977648,0
9.06667,0.097454,0
9.13333,0.0985178,0
9.2,0.0988525,0
9.26667,0.098458,0
9.33333,0.099235,0
9.4,0.0981831,0
9.46667,0.0984102,0
9.53333,0.0983027,0
9.6,0.0984222,0
9.66667,0.100335,0
9.73333,0.100072,0
9.8,0.0999044,0
9.86667,0.100586,0
9.93333,0.100968,0
10,0.100861,0
10.0667,0.100335,0
10.1333,0.0990437,0
10.2,0.0989362,0
10.2667,0.0976213,0
10.3333,0.0962109,0
10.4,0.0966651,0
10.4667,0.0947287,0
10.5333,0.0942864,0
10.6,0.0939876,0
10.6667,0.0944537,0
10.7333,0.093629,0
10.8,0.0936648,0
10.8667,0.0943581,0
10.9333,0.0935333,0
11,0.0934377,0
11.0667,0.0929716,0
11.1333,0.0930911,0
11.2,0.0924695,0
11.2667,0.092338,0
11.3333,0.0890031,0
11.4,0.0886206,0
11.4667,0.0885728,0
11.5333,0.0885728,0
11.6,0.089278,0
11.6667,0.0894095,0
11.7333,0.0896844,0
11.8,0.0896964,0
11.8667,0.0895171,0
11.9333,0.0892661,0
12,0.08929,0
12.0667,0.0900908,0
12.1333,0.0904853,0
12.2,0.0903777,0
12.2667,0.0904375,0
12.3333,0.0909037,0
12.4,0.0908917,0
12.4667,0.0913937,0
12.5333,0.0905929,0
12.6,0.0910471,0
12.6667,0.0916448,0
12.7333,0.0915611,0
12.8,0.0912383,0
12.8667,0.0904255,0
12.9333,0.0907602,0
13,0.0917404,0
13.0667,0.0916926,0
13.1333,0.0924815,0
13.2,0.0921229,0
13.2667,0.0921826,0
13.3333,0.0924098,0
13.4,0.0926966,0
13.4667,0.0927564,0
13.5333,0.0931389,0
13.6,0.0931987,0
