Frame No.,Queue Density
0,0.045066
0.0666667,0.0435404
0.133333,0.0424908
0.2,0.0439149
0.266667,0.0467359
0.333333,0.0488819
0.4,0.0508055
0.466667,0.0504661
0.533333,0.0509967
0.6,0.0531427
0.666667,0.0539855
0.733333,0.0539816
0.8,0.0554058
0.866667,0.0566231
0.933333,0.0567441
1,0.0565958
1.06667,0.0565607
1.13333,0.0572123
1.2,0.0580512
1.26667,0.0580902
1.33333,0.058258
1.4,0.0588277
1.46667,0.0593739
1.53333,0.0594559
1.6,0.059093
1.66667,0.0614692
1.73333,0.0619647
1.8,0.0642824
1.86667,0.0656871
1.93333,0.0659563
2,0.0659329
2.06667,0.0661514
2.13333,0.0658626
2.2,0.0658821
2.26667,0.0661592
2.33333,0.0667015
2.4,0.0667288
2.46667,0.0661202
2.53333,0.0665142
2.6,0.0662138
2.66667,0.0657456
2.73333,0.0656675
2.8,0.0659095
2.86667,0.0660733
2.93333,0.0640288
3,0.0646921
3.06667,0.0654685
3.13333,0.0660733
3.2,0.0662723
3.26667,0.0666274
3.33333,0.0668303
3.4,0.0668576
3.46667,0.0682271
3.53333,0.0690855
3.6,0.070615
3.66667,0.0727025
3.73333,0.0740057
3.8,0.0756406
3.86667,0.0773301
3.93333,0.0785669
4,0.0807832
4.06667,0.0803618
4.13333,0.0804398
4.2,0.0800808
4.26667,0.0787074
4.33333,0.0782197
4.4,0.0775993
4.46667,0.0775603
4.53333,0.077611
4.6,0.0750436
4.66667,0.0755938
4.73333,0.0764717
4.8,0.076222
4.86667,0.0761517
4.93333,0.075742
5,0.0751841
5.06667,0.0746066
5.13333,0.0740877
5.2,0.0736546
5.26667,0.0747354
5.33333,0.0752036
5.4,0.0764522
5.46667,0.0772676
5.53333,0.0773223
5.6,0.0804203
5.66667,0.0841309
5.73333,0.0856253
5.8,0.0895076
5.86667,0.0921765
5.93333,0.0931207
6,0.0939986
6.06667,0.0944356
6.13333,0.0953721
6.2,0.096129
6.26667,0.0942327
6.33333,0.0943069
6.4,0.095493
6.46667,0.0953213
6.53333,0.0959066
6.6,0.095891
6.66667,0.0961992
6.73333,0.0965387
6.8,0.0975454
6.86667,0.0969601
6.93333,0.0969328
7,0.0967728
7.06667,0.0966323
7.13333,0.0971162
7.2,0.0989734
7.26667,0.101498
7.33333,0.103105
7.4,0.105279
7.46667,0.108026
7.53333,0.10872
7.6,0.110874
7.66667,0.111194
7.73333,0.111822
7.8,0.112712
7.86667,0.112618
7.93333,0.11199
8,0.111947
8.06667,0.112267
8.13333,0.112524
8.2,0.113188
8.26667,0.113293
8.33333,0.113941
8.4,0.113496
8.46667,0.112407
8.53333,0.112798
8.6,0.112482
8.66667,0.112458
8.73333,0.112017
8.8,0.111276
8.86667,0.111217
8.93333,0.110921
9,0.111373
9.06667,0.111163
9.13333,0.11133
9.2,0.112138
9.26667,0.111892
9.33333,0.111896
9.4,0.111533
9.46667,0.111869
9.53333,0.112232
9.6,0.11272
9.66667,0.112766
9.73333,0.112887
9.8,0.113336
9.86667,0.113453
9.93333,0.113398
10,0.112946
10.0667,0.111795
10.1333,0.111931
10.2,0.111092
10.2667,0.110698
10.3333,0.11057
10.4,0.108271
10.4667,0.108404
10.5333,0.108026
10.6,0.108389
10.6667,0.108002
10.7333,0.108287
10.8,0.107936
10.8667,0.10682
10.9333,0.107093
11,0.106601
11.0667,0.106125
11.1333,0.106184
11.2,0.105322
11.2667,0.101642
11.3333,0.101646
11.4,0.101315
11.4667,0.101498
11.5333,0.101467
11.6,0.10156
11.6667,0.101435
11.7333,0.102122
11.8,0.101689
11.8667,0.101396
11.9333,0.10181
12,0.102091
12.0667,0.102009
12.1333,0.102142
12.2,0.101685
12.2667,0.102403
12.3333,0.102778
12.4,0.101947
12.4667,0.101642
12.5333,0.102091
12.6,0.102551
12.6667,0.102532
12.7333,0.102649
12.8,0.102079
12.8667,0.102017
12.9333,0.102099
13,0.102411
13.0667,0.102587
13.1333,0.10238
13.2,0.102501
13.2667,0.102743
13.3333,0.10293
13.4,0.103094
13.4667,0.103301
13.5333,0.103628
13.6,0.103761
13.6667,0.103246
13.7333,0.103394
13.8,0.103472
13.8667,0.103172
13.9333,0.103386
14,0.10426
14.0667,0.104194
14.1333,0.104069
14.2,0.103671
14.2667,0.103702
14.3333,0.103422
14.4,0.103016
14.4667,0.10291
14.5333,0.103258
14.6,0.101658
14.6667,0.10213
14.7333,0.102696
14.8,0.10133
14.8667,0.101186
14.9333,0.101416
15,0.101463
15.0667,0.101451
15.1333,0.101728
15.2,0.101689
15.2667,0.101537
15.3333,0.101564
15.4,0.101634
15.4667,0.102337
15.5333,0.102864
15.6,0.10373
15.6667,0.103464
15.7333,0.103211
15.8,0.102391
15.8667,0.100983
15.9333,0.10048
16,0.0997772
16.0667,0.0996094
16.1333,0.0996367
16.2,0.0995899
16.2667,0.0980487
16.3333,0.0984623
16.4,0.0987549
16.4667,0.0990398
16.5333,0.0986301
16.6,0.0984701
16.6667,0.0983569
16.7333,0.0981462
16.8,0.0982945
16.8667,0.0981697
16.9333,0.0982633
17,0.0986496
17.0667,0.0988798
17.1333,0.0987822
17.2,0.0988993
17.2667,0.0990866
17.3333,0.0994612
17.4,0.0996797
17.4667,0.0997733
17.5333,0.0997031
17.6,0.0996836
17.6667,0.0995431
17.7333,0.0995665
17.8,0.099508
17.8667,0.0995002
17.9333,0.0980994
18,0.0981267
18.0667,0.0982906
18.1333,0.0981931
18.2,0.0981775
18.2667,0.0983569
18.3333,0.0985989
18.4,0.0992739
18.4667,0.101845
18.5333,0.102407
18.6,0.104198
18.6667,0.106352
18.7333,0.107156
18.8,0.108318
18.8667,0.110476
18.9333,0.111467
19,0.113515
19.0667,0.115264
19.1333,0.115041
19.2,0.11476
19.2667,0.114003
19.3333,0.113945
19.4,0.113527
19.4667,0.113125
19.5333,0.112887
19.6,0.110347
19.6667,0.108872
19.7333,0.108018
19.8,0.106328
19.8667,0.104085
19.9333,0.103445
20,0.10172
20.0667,0.10039
20.1333,0.0992231
20.2,0.0983921
20.2667,0.0981541
20.3333,0.0983999
20.4,0.0982282
20.4667,0.0991139
20.5333,0.0992661
20.6,0.0991334
20.6667,0.0998748
20.7333,0.100132
20.8,0.0997889
20.8667,0.0998708
20.9333,0.0999762
21,0.100366
21.0667,0.0998201
21.1333,0.0994612
21.2,0.0988096
21.2667,0.0966284
21.3333,0.096726
21.4,0.0969445
21.4667,0.0970576
21.5333,0.0970967
21.6,0.0970459
21.6667,0.0973386
21.7333,0.0971591
21.8,0.0976624
21.8667,0.0980253
21.9333,0.0978575
22,0.0981462
22.0667,0.0978926
22.1333,0.0979512
22.2,0.0979668
22.2667,0.0979707
22.3333,0.0978887
22.4,0.0976039
22.4667,0.0977366
22.5333,0.0980409
22.6,0.09911
22.6667,0.0994143
22.7333,0.0996289
22.8,0.10016
22.8667,0.101541
22.9333,0.102142
23,0.102949
23.0667,0.103862
23.1333,0.104506
23.2,0.104112
