Time(s),Queue Density,Dynamic Density
0.0666667,0.0362756,0
0.133333,0.036036,0
0.2,0.0355089,0
0.266667,0.0369944,0
0.333333,0.0383841,0
0.4,0.0421698,0
0.466667,0.0419781,0
0.533333,0.0431762,0
0.6,0.0455722,0
0.666667,0.0459076,0
0.733333,0.0467702,0
0.8,0.0470577,0
0.866667,0.0487828,0
0.933333,0.0487828,0
1,0.0483995,0
1.06667,0.0479682,0
1.13333,0.0469619,0
1.2,0.0467702,0
1.26667,0.0470577,0
1.33333,0.0476327,0
1.4,0.0467223,0
1.46667,0.0474411,0
1.53333,0.0492141,0
1.6,0.0475369,0
1.66667,0.0472015,0
1.73333,0.0489266,0
1.8,0.0499808,0
1.86667,0.0514184,0
1.93333,0.052856,0
2,0.0532873,0
2.06667,0.0532394,0
2.13333,0.0537186,0
2.2,0.0546291,0
2.26667,0.053479,0
2.33333,0.0544853,0
2.4,0.0552521,0
2.46667,0.0560188,0
2.53333,0.0534311,0
2.6,0.0547729,0
2.66667,0.0551083,0
2.73333,0.0538624,0
2.8,0.0560188,0
2.86667,0.0544374,0
2.93333,0.0555875,0
3,0.0546291,0
3.06667,0.0555875,0
3.13333,0.0544374,0
3.2,0.0568813,0
3.26667,0.0559229,0
3.33333,0.0551562,0
3.4,0.0559229,0
3.46667,0.0564021,0
3.53333,0.0591815,0
3.6,0.0597086,0
3.66667,0.0588461,0
3.73333,0.0632068,0
3.8,0.0632547,0
3.86667,0.0628235,0
3.93333,0.0658424,0
4,0.0669446,0
4.06667,0.0699157,0
4.13333,0.0702511,0
4.2,0.070299,0
4.26667,0.0687177,0
4.33333,0.0668967,0
4.4,0.0658424,0
4.46667,0.0645965,0
4.53333,0.0639735,0
4.6,0.0627276,0
4.66667,0.0591815,0
4.73333,0.0610504,0
4.8,0.06129,0
4.86667,0.0614817,0
4.93333,0.0610504,0
5,0.0602837,0
5.06667,0.0597086,0
5.13333,0.0572168,0
5.2,0.0574085,0
5.26667,0.0579835,0
5.33333,0.058271,0
5.4,0.0582231,0
5.46667,0.0591815,0
5.53333,0.0604754,0
5.6,0.0606191,0
5.66667,0.06129,0
5.73333,0.0652195,0
5.8,0.0658904,0
5.86667,0.0705386,0
5.93333,0.0732222,0
6,0.0732222,0
6.06667,0.0728388,0
6.13333,0.0732701,0
6.2,0.0733659,0
6.26667,0.0752827,0
6.33333,0.0743722,0
6.4,0.0754744,0
6.46667,0.0782059,0
6.53333,0.0774871,0
6.6,0.0774871,0
6.66667,0.0776308,0
6.73333,0.0760015,0
6.8,0.0764807,0
6.86667,0.0771995,0
6.93333,0.0775829,0
7,0.0769599,0
7.06667,0.0772954,0
7.13333,0.0760495,0
7.2,0.0749952,0
7.26667,0.0763849,0
7.33333,0.0794518,0
7.4,0.0819916,0
7.46667,0.0828062,0
7.53333,0.0861606,0
7.6,0.0868315,0
7.66667,0.0872149,0
7.73333,0.0889879,0
7.8,0.0894671,0
7.86667,0.0905693,0
7.93333,0.0904735,0
8,0.0913839,0
8.06667,0.0886046,0
8.13333,0.0884608,0
8.2,0.0879337,0
8.26667,0.0888442,0
8.33333,0.08894,0
8.4,0.0881733,0
8.46667,0.087742,0
8.53333,0.085346,0
8.6,0.0860648,0
8.66667,0.0850105,0
8.73333,0.0835729,0
8.8,0.0851543,0
8.86667,0.0862565,0
8.93333,0.0850585,0
9,0.0843876,0
9.06667,0.0838125,0
9.13333,0.0827583,0
9.2,0.0850105,0
9.26667,0.0843876,0
9.33333,0.0861606,0
9.4,0.0844355,0
9.46667,0.0841001,0
9.53333,0.0847709,0
9.6,0.0837167,0
9.66667,0.0834771,0
9.73333,0.0838605,0
9.8,0.083525,0
9.86667,0.0844355,0
9.93333,0.0859689,0
10,0.0844355,0
10.0667,0.0825187,0
10.1333,0.0822312,0
10.2,0.08295,0
10.2667,0.0792122,0
10.3333,0.0794039,0
10.4,0.0781579,0
10.4667,0.0756661,0
10.5333,0.0777267,0
10.6,0.0762891,0
10.6667,0.0753786,0
10.7333,0.0766724,0
10.8,0.0764807,0
10.8667,0.0769599,0
10.9333,0.0786371,0
11,0.0781579,0
11.0667,0.0764807,0
11.1333,0.076337,0
11.2,0.0782538,0
11.2667,0.0765287,0
11.3333,0.0750431,0
11.4,0.076912,0
11.4667,0.0752348,0
11.5333,0.0759057,0
11.6,0.0760974,0
11.6667,0.0766245,0
11.7333,0.0774391,0
11.8,0.0776787,0
11.8667,0.0768641,0
11.9333,0.0768641,0
12,0.0771516,0
12.0667,0.0771516,0
12.1333,0.079356,0
12.2,0.0791643,0
12.2667,0.0777746,0
12.3333,0.0788288,0
12.4,0.0789247,0
12.4667,0.0779663,0
12.5333,0.0781579,0
12.6,0.0794518,0
12.6667,0.0809852,0
12.7333,0.079931,0
12.8,0.0798352,0
12.8667,0.0795476,0
12.9333,0.0794039,0
13,0.0798831,0
13.0667,0.0815603,0
13.1333,0.081752,0
13.2,0.0813686,0
13.2667,0.0815603,0
13.3333,0.081752,0
13.4,0.0828062,0
13.4667,0.0827583,0
13.5333,0.0837646,0
13.6,0.0829979,0
13.6667,0.083525,0
13.7333,0.082327,0
13.8,0.0829021,0
13.8667,0.0831417,0
13.9333,0.0821832,0
14,0.0815124,0
14.0667,0.0826624,0
14.1333,0.0825666,0
14.2,0.0825187,0
14.2667,0.0820874,0
14.3333,0.0829021,0
14.4,0.0824228,0
14.4667,0.0820395,0
14.5333,0.0820874,0
14.6,0.0822312,0
14.6667,0.0822791,0
14.7333,0.0829979,0
14.8,0.0829979,0
14.8667,0.0807936,0
14.9333,0.0795956,0
15,0.0797872,0
15.0667,0.0797872,0
15.1333,0.0797872,0
15.2,0.0801227,0
15.2667,0.0797872,0
15.3333,0.0796435,0
15.4,0.079931,0
15.4667,0.0796914,0
15.5333,0.0814644,0
15.6,0.0813207,0
15.6667,0.0819916,0
15.7333,0.0809852,0
15.8,0.0809373,0
15.8667,0.0802664,0
15.9333,0.0794518,0
16,0.0778704,0
16.0667,0.0766245,0
16.1333,0.0758099,0
16.2,0.0759536,0
16.2667,0.0764328,0
16.3333,0.0760495,0
16.4,0.0767203,0
16.4667,0.0770079,0
16.5333,0.0767683,0
16.6,0.0764328,0
16.6667,0.0761453,0
16.7333,0.0762411,0
16.8,0.0760495,0
16.8667,0.0759536,0
16.9333,0.0755223,0
17,0.0758099,0
17.0667,0.0762411,0
17.1333,0.0758099,0
17.2,0.075714,0
17.2667,0.0754265,0
17.3333,0.0752827,0
17.4,0.0755223,0
17.4667,0.0752348,0
17.5333,0.0754265,0
17.6,0.075714,0
17.6667,0.0754744,0
17.7333,0.0755223,0
17.8,0.0755703,0
17.8667,0.0758099,0
17.9333,0.0760495,0
18,0.0736055,0
18.0667,0.0731263,0
18.1333,0.0735097,0
18.2,0.0736055,0
18.2667,0.0736055,0
18.3333,0.073941,0
18.4,0.0737493,0
18.4667,0.0730784,0
18.5333,0.0765287,0
18.6,0.0780142,0
18.6667,0.0798352,0
18.7333,0.0825666,0
18.8,0.0832375,0
18.8667,0.0848668,0
18.9333,0.0881254,0
19,0.0898026,0
19.0667,0.0921027,0
19.1333,0.0940196,0
19.2,0.0941633,0
19.2667,0.0930611,0
19.3333,0.0923903,0
19.4,0.0924861,0
19.4667,0.0916235,0
19.5333,0.0894671,0
19.6,0.089515,0
19.6667,0.0887962,0
19.7333,0.0888921,0
19.8,0.0885566,0
19.8667,0.0853939,0
19.9333,0.0830937,0
20,0.0830458,0
20.0667,0.0818957,0
20.1333,0.0806498,0
20.2,0.0797872,0
20.2667,0.0790684,0
20.3333,0.0781579,0
20.4,0.0777746,0
20.4667,0.0777267,0
20.5333,0.0791164,0
20.6,0.078733,0
20.6667,0.0789247,0
20.7333,0.0791164,0
20.8,0.0795476,0
20.8667,0.0792601,0
20.9333,0.0790684,0
21,0.079308,0
21.0667,0.079931,0
21.1333,0.0789726,0
21.2,0.0783496,0
21.2667,0.0773433,0
21.3333,0.0764328,0
21.4,0.0768641,0
21.4667,0.0765766,0
21.5333,0.0761453,0
21.6,0.0763849,0
21.6667,0.0763849,0
21.7333,0.0766245,0
21.8,0.0765766,0
21.8667,0.0774391,0
21.9333,0.0769599,0
22,0.0770558,0
22.0667,0.076912,0
22.1333,0.0770558,0
22.2,0.0764328,0
22.2667,0.0760974,0
22.3333,0.0760974,0
22.4,0.0763849,0
22.4667,0.0762411,0
22.5333,0.0763849,0
22.6,0.0761932,0
22.6667,0.0771037,0
22.7333,0.0775829,0
22.8,0.0780142,0
22.8667,0.0765766,0
22.9333,0.0788288,0
23,0.0802185,0
23.0667,0.0811769,0
23.1333,0.0812248,0
23.2,0.0820874,0
23.2667,0.0822312,0
23.3333,0.0812248,0
23.4,0.0794997,0
23.4667,0.0783017,0
23.5333,0.0783496,0
23.6,0.0779183,0
23.6667,0.0782059,0
23.7333,0.078733,0
23.8,0.0786851,0
23.8667,0.0790205,0
23.9333,0.0789247,0
24,0.0790205,0
24.0667,0.0792122,0
24.1333,0.0792122,0
24.2,0.0792601,0
24.2667,0.0787809,0
24.3333,0.0798831,0
24.4,0.079308,0
24.4667,0.0794518,0
24.5333,0.0796435,0
24.6,0.0791643,0
24.6667,0.080554,0
24.7333,0.080506,0
24.8,0.0806019,0
24.8667,0.0804581,0
24.9333,0.0808415,0
25,0.0810811,0
25.0667,0.0807936,0
25.1333,0.0802664,0
25.2,0.0799789,0
25.2667,0.0804581,0
25.3333,0.0808894,0
25.4,0.0807936,0
25.4667,0.0812248,0
25.5333,0.081129,0
25.6,0.0806498,0
25.6667,0.0816082,0
25.7333,0.0826145,0
25.8,0.083525,0
25.8667,0.0840521,0
25.9333,0.0846751,0
26,0.0848668,0
26.0667,0.0854897,0
26.1333,0.0856335,0
26.2,0.0864961,0
26.2667,0.0855377,0
26.3333,0.0851543,0
26.4,0.0860169,0
26.4667,0.0865919,0
26.5333,0.087167,0
26.6,0.0861606,0
26.6667,0.0865919,0
26.7333,0.0873586,0
26.8,0.0880774,0
26.8667,0.0874066,0
26.9333,0.0885087,0
27,0.0885566,0
27.0667,0.089563,0
27.1333,0.0914798,0
27.2,0.0911443,0
27.2667,0.0933487,0
27.3333,0.0960322,0
27.4,0.0982845,0
27.4667,0.100249,0
27.5333,0.103795,0
27.6,0.105281,0
27.6667,0.107821,0
