Time(s),Queue Density
0.0666667,0.0450425
0.133333,0.0436067
0.2,0.042522
0.266667,0.0439149
0.333333,0.0467711
0.4,0.0487532
0.466667,0.0507743
0.533333,0.050349
0.6,0.0508875
0.666667,0.0531505
0.733333,0.0539621
0.8,0.0539504
0.866667,0.0554487
0.933333,0.0565451
1,0.0568377
1.06667,0.0566192
1.13333,0.0567558
1.2,0.0572903
1.26667,0.058098
1.33333,0.0580044
1.4,0.0583009
1.46667,0.0587574
1.53333,0.0592881
1.6,0.0593934
1.66667,0.0590657
1.73333,0.0614224
1.8,0.0619335
1.86667,0.0642512
1.93333,0.0656597
2,0.0657924
2.06667,0.0659056
2.13333,0.0659407
2.2,0.0658431
2.26667,0.0659719
2.33333,0.0661514
2.4,0.0665923
2.46667,0.0667132
2.53333,0.0660928
2.6,0.066483
2.66667,0.0661319
2.73333,0.065808
2.8,0.0657222
2.86667,0.0659563
2.93333,0.0661123
3,0.0640678
3.06667,0.0647467
3.13333,0.0655076
3.2,0.0661163
3.26667,0.0663074
3.33333,0.0666898
3.4,0.0668615
3.46667,0.0669083
3.53333,0.0681101
3.6,0.0690504
3.66667,0.0705877
3.73333,0.0726596
3.8,0.0740213
3.86667,0.0756835
3.93333,0.0773028
4,0.0785552
4.06667,0.080752
4.13333,0.0803852
4.2,0.0804905
4.26667,0.0800926
4.33333,0.0786489
4.4,0.0781026
4.46667,0.0775447
4.53333,0.0774666
4.6,0.0775798
4.66667,0.0751802
4.73333,0.0757303
4.8,0.0766433
4.86667,0.0763624
4.93333,0.0764014
5,0.07598
5.06667,0.0754338
5.13333,0.0747861
5.2,0.0742437
5.26667,0.0738067
5.33333,0.0749461
5.4,0.075344
5.46667,0.0765965
5.53333,0.0774432
5.6,0.0775252
5.66667,0.0805178
5.73333,0.084248
5.8,0.085719
5.86667,0.0896793
5.93333,0.0923286
6,0.0932768
6.06667,0.0941703
6.13333,0.0946307
6.2,0.0955867
6.26667,0.0963163
6.33333,0.0943069
6.4,0.0943927
6.46667,0.0956062
6.53333,0.0954345
6.6,0.0959612
6.66667,0.0960002
6.73333,0.0962734
6.8,0.0965621
6.86667,0.0976897
6.93333,0.0971513
7,0.0971084
7.06667,0.0969835
7.13333,0.0968704
7.2,0.0972332
7.26667,0.0991451
7.33333,0.101568
7.4,0.103183
7.46667,0.105486
7.53333,0.108353
7.6,0.109017
7.66667,0.111112
7.73333,0.111459
7.8,0.112013
7.86667,0.112934
7.93333,0.112825
8,0.112173
8.06667,0.112045
8.13333,0.112396
8.2,0.112735
8.26667,0.113461
8.33333,0.113457
8.4,0.114194
8.46667,0.113574
8.53333,0.112606
8.6,0.113086
8.66667,0.112688
8.73333,0.112638
8.8,0.112154
8.86667,0.111592
8.93333,0.11133
9,0.111022
9.06667,0.111518
9.13333,0.111428
9.2,0.111529
9.26667,0.112173
9.33333,0.111982
9.4,0.11206
9.46667,0.11174
9.53333,0.112095
9.6,0.112372
9.66667,0.112837
9.73333,0.112922
9.8,0.112961
9.86667,0.113473
9.93333,0.113512
10,0.113492
10.0667,0.113086
10.1333,0.111924
10.2,0.112169
10.2667,0.111233
10.3333,0.1108
10.4,0.110698
10.4667,0.108428
10.5333,0.108595
10.6,0.108127
10.6667,0.108584
10.7333,0.108088
10.8,0.108373
10.8667,0.108033
10.9333,0.106945
11,0.10721
11.0667,0.106715
11.1333,0.106367
11.2,0.106301
11.2667,0.105482
11.3333,0.101806
11.4,0.101888
11.4667,0.101553
11.5333,0.101697
11.6,0.101607
11.6667,0.101689
11.7333,0.101584
11.8,0.10229
11.8667,0.101826
11.9333,0.101486
12,0.101876
12.0667,0.102247
12.1333,0.10211
12.2,0.102243
12.2667,0.101876
12.3333,0.102536
12.4,0.102981
