Frame No.,Queue Density
0,0.0450972
0.0666667,0.0435794
0.133333,0.0424595
0.2,0.0439149
0.266667,0.0467359
0.333333,0.048761
0.4,0.0507197
0.466667,0.0502983
0.533333,0.050946
0.6,0.0530998
0.666667,0.0539387
0.733333,0.0539504
0.8,0.0554292
0.866667,0.0564983
0.933333,0.0568338
1,0.0566856
1.06667,0.056627
1.13333,0.0571733
1.2,0.0580707
1.26667,0.0580824
1.33333,0.0583087
1.4,0.0587769
1.46667,0.0593037
1.53333,0.0594129
1.6,0.0590384
1.66667,0.0614692
1.73333,0.0619101
1.8,0.0642902
1.86667,0.0657495
1.93333,0.0660226
2,0.0658977
2.06667,0.0659212
2.13333,0.0659056
2.2,0.0659212
2.26667,0.0661319
2.33333,0.0666313
2.4,0.0667093
2.46667,0.0660889
2.53333,0.0664752
2.6,0.0662372
2.66667,0.0657885
2.73333,0.0656831
2.8,0.0659017
2.86667,0.0660889
2.93333,0.0641536
3,0.0647662
3.06667,0.0654842
3.13333,0.0661748
3.2,0.0661631
3.26667,0.066721
3.33333,0.0669083
3.4,0.0668771
3.46667,0.0680828
3.53333,0.0690153
3.6,0.0706775
3.66667,0.072722
3.73333,0.0740057
3.8,0.0756445
3.86667,0.0772754
3.93333,0.0785084
4,0.0807364
4.06667,0.0803657
4.13333,0.0804554
4.2,0.080034
4.26667,0.0786684
4.33333,0.078087
4.4,0.0775954
4.46667,0.07749
4.53333,0.077572
4.6,0.0750007
4.66667,0.0756055
4.73333,0.0764912
4.8,0.0762337
4.86667,0.0762102
4.93333,0.075781
5,0.0752114
5.06667,0.0746339
5.13333,0.0741111
5.2,0.0736389
5.26667,0.0747276
5.33333,0.0752153
5.4,0.0764522
5.46667,0.0772598
5.53333,0.0773301
5.6,0.0803228
5.66667,0.0840841
5.73333,0.085598
5.8,0.0894764
5.86667,0.0921375
5.93333,0.0930778
6,0.0939401
6.06667,0.0944551
6.13333,0.0953799
6.2,0.0960978
6.26667,0.0941976
6.33333,0.0942483
6.4,0.0954696
6.46667,0.0953486
6.53333,0.0958715
6.6,0.0958052
6.66667,0.0961017
6.73333,0.0964412
6.8,0.0975454
6.86667,0.0969952
6.93333,0.0969718
7,0.0967221
7.06667,0.096644
7.13333,0.0971513
7.2,0.0989695
7.26667,0.101447
7.33333,0.102965
7.4,0.105271
7.46667,0.108131
7.53333,0.108845
7.6,0.11096
7.66667,0.111186
7.73333,0.11176
7.8,0.11284
7.86667,0.112692
7.93333,0.11197
8,0.112099
8.06667,0.112224
8.13333,0.112536
8.2,0.113203
8.26667,0.113258
8.33333,0.113761
8.4,0.113402
8.46667,0.112431
8.53333,0.112747
8.6,0.112474
8.66667,0.112442
8.73333,0.112005
8.8,0.111354
8.86667,0.111096
8.93333,0.110847
9,0.111307
9.06667,0.111272
9.13333,0.111354
9.2,0.111963
9.26667,0.111888
9.33333,0.111931
9.4,0.111557
9.46667,0.111888
9.53333,0.112329
9.6,0.112622
9.66667,0.112673
9.73333,0.112774
9.8,0.11327
9.86667,0.113375
9.93333,0.113254
10,0.112938
10.0667,0.111736
10.1333,0.111908
10.2,0.111042
10.2667,0.110683
10.3333,0.110585
10.4,0.108248
10.4667,0.108455
10.5333,0.107987
10.6,0.108431
10.6667,0.107959
10.7333,0.108268
10.8,0.107928
10.8667,0.106758
10.9333,0.107015
11,0.106539
11.0667,0.106243
11.1333,0.106207
11.2,0.105255
11.2667,0.101685
11.3333,0.101685
11.4,0.101424
11.4667,0.101529
11.5333,0.101521
11.6,0.10156
11.6667,0.101525
11.7333,0.102173
11.8,0.101713
11.8667,0.101377
11.9333,0.101802
12,0.10211
12.0667,0.102001
12.1333,0.102114
12.2,0.10174
12.2667,0.102427
12.3333,0.102786
12.4,0.101962
12.4667,0.101697
12.5333,0.102122
12.6,0.102536
12.6667,0.102559
12.7333,0.102688
12.8,0.102087
12.8667,0.102013
12.9333,0.102138
13,0.102423
13.0667,0.102618
13.1333,0.102407
13.2,0.102528
13.2667,0.102789
13.3333,0.102992
13.4,0.103144
13.4667,0.103359
13.5333,0.103714
13.6,0.103816
13.6667,0.103301
13.7333,0.103445
13.8,0.103546
13.8667,0.10323
13.9333,0.103437
14,0.104276
14.0667,0.104229
14.1333,0.104085
14.2,0.103699
14.2667,0.103714
14.3333,0.103464
14.4,0.103047
14.4667,0.102949
14.5333,0.103297
14.6,0.101763
14.6667,0.102208
14.7333,0.102754
14.8,0.101365
14.8667,0.101213
14.9333,0.101443
15,0.10151
15.0667,0.101482
15.1333,0.101763
15.2,0.101716
15.2667,0.101568
15.3333,0.101595
15.4,0.101666
15.4667,0.102345
15.5333,0.102867
15.6,0.103757
15.6667,0.103476
15.7333,0.103226
15.8,0.102395
15.8667,0.100995
15.9333,0.100487
16,0.0997694
16.0667,0.0996172
16.1333,0.0996328
16.2,0.099586
16.2667,0.0980487
16.3333,0.0984584
16.4,0.0987354
16.4667,0.0990398
16.5333,0.0986262
16.6,0.0984662
16.6667,0.0983608
16.7333,0.0981384
16.8,0.0982789
16.8667,0.0981697
16.9333,0.0982594
17,0.0986223
17.0667,0.0988252
17.1333,0.0987276
17.2,0.0988408
17.2667,0.0990437
17.3333,0.0994221
17.4,0.0996563
17.4667,0.099746
17.5333,0.0996523
17.6,0.0996328
17.6667,0.0995041
17.7333,0.0995197
17.8,0.0994534
17.8667,0.0994573
17.9333,0.0981267
18,0.0981619
18.0667,0.098314
18.1333,0.0982087
18.2,0.0981775
18.2667,0.0983491
18.3333,0.0985911
18.4,0.0992778
18.4667,0.101845
18.5333,0.102395
18.6,0.104206
18.6667,0.106352
18.7333,0.107152
18.8,0.108299
18.8667,0.110511
18.9333,0.111455
19,0.11348
19.0667,0.115224
19.1333,0.114986
19.2,0.114733
19.2667,0.114007
19.3333,0.113925
19.4,0.113504
19.4667,0.113129
19.5333,0.112864
19.6,0.110421
19.6667,0.108896
19.7333,0.108045
19.8,0.106356
19.8667,0.10412
19.9333,0.103468
20,0.101658
20.0667,0.100359
20.1333,0.0992114
20.2,0.0983569
20.2667,0.0981306
20.3333,0.0983647
20.4,0.0982009
20.4667,0.0990866
20.5333,0.0992466
20.6,0.0990749
20.6667,0.0998669
20.7333,0.100132
20.8,0.0998201
20.8667,0.0998826
20.9333,0.0999918
21,0.100347
21.0667,0.099824
21.1333,0.0994573
21.2,0.0987979
21.2667,0.0966362
21.3333,0.096726
21.4,0.0969757
21.4667,0.0970928
21.5333,0.0970967
21.6,0.0970108
21.6667,0.0973113
21.7333,0.0971513
21.8,0.0976429
21.8667,0.0980214
21.9333,0.0978575
22,0.0981111
22.0667,0.0978926
22.1333,0.097959
22.2,0.097959
22.2667,0.0979668
22.3333,0.097877
22.4,0.0975961
22.4667,0.0977405
22.5333,0.0980565
22.6,0.0991139
22.6667,0.0994026
22.7333,0.099625
22.8,0.100152
22.8667,0.101537
22.9333,0.102107
23,0.10293
23.0667,0.103823
23.1333,0.104467
23.2,0.104089
23.2667,0.10348
23.3333,0.103074
23.4,0.102056
23.4667,0.101603
23.5333,0.101533
23.6,0.101619
23.6667,0.101771
23.7333,0.101861
23.8,0.102103
23.8667,0.10229
23.9333,0.102169
24,0.102485
24.0667,0.102707
24.1333,0.102836
24.2,0.102988
24.2667,0.103004
24.3333,0.102969
24.4,0.103078
24.4667,0.102996
24.5333,0.103289
24.6,0.103968
24.6667,0.103929
24.7333,0.10419
24.8,0.104502
24.8667,0.104534
24.9333,0.104405
25,0.104463
25.0667,0.104268
25.1333,0.104448
25.2,0.10426
25.2667,0.104358
25.3333,0.104604
25.4,0.104565
25.4667,0.104569
25.5333,0.10524
25.6,0.10579
25.6667,0.107355
25.7333,0.107663
25.8,0.10769
25.8667,0.107729
25.9333,0.108357
26,0.108884
26.0667,0.109305
26.1333,0.109879
26.2,0.110144
26.2667,0.109618
26.3333,0.109707
26.4,0.110749
26.4667,0.111448
26.5333,0.112169
26.6,0.112403
26.6667,0.112513
26.7333,0.112337
26.8,0.112934
26.8667,0.113512
26.9333,0.113843
27,0.114776
27.0667,0.115864
27.1333,0.116734
27.2,0.119435
27.2667,0.122599
27.3333,0.124499
27.4,0.127648
27.4667,0.130387
27.5333,0.132225
27.6,0.135022
27.6667,0.137036
27.7333,0.13812
27.8,0.140305
27.8667,0.142842
27.9333,0.141687
28,0.144234
28.0667,0.1464
28.1333,0.147625
28.2,0.150477
28.2667,0.154453
28.3333,0.156041
28.4,0.159272
28.4667,0.161882
28.5333,0.162503
28.6,0.163669
28.6667,0.165215
28.7333,0.165858
28.8,0.167458
28.8667,0.168223
28.9333,0.168718
29,0.170654
29.0667,0.17177
29.1333,0.171231
29.2,0.17143
29.2667,0.172464
29.3333,0.172964
29.4,0.173689
29.4667,0.174197
29.5333,0.174829
29.6,0.166845
29.6667,0.168496
29.7333,0.169015
29.8,0.170369
29.8667,0.171532
29.9333,0.171703
30,0.171555
30.0667,0.172921
30.1333,0.173198
30.2,0.174587
30.2667,0.175816
30.3333,0.176159
30.4,0.177295
30.4667,0.17811
30.5333,0.178231
30.6,0.178348
30.6667,0.178847
30.7333,0.178609
30.8,0.178528
30.8667,0.178609
30.9333,0.179737
31,0.179546
31.0667,0.179378
31.1333,0.179199
31.2,0.179534
31.2667,0.17907
31.3333,0.179339
31.4,0.178625
31.4667,0.179499
31.5333,0.179772
31.6,0.180244
31.6667,0.179885
31.7333,0.179971
31.8,0.180525
31.8667,0.180252
31.9333,0.180287
32,0.181473
32.0667,0.181032
32.1333,0.180607
32.2,0.18136
32.2667,0.182082
32.3333,0.182199
32.4,0.183054
32.4667,0.183249
32.5333,0.182929
32.6,0.182425
32.6667,0.182964
32.7333,0.182429
32.8,0.182777
32.8667,0.182734
32.9333,0.180908
33,0.180826
33.0667,0.181083
33.1333,0.18097
33.2,0.181196
33.2667,0.181317
33.3333,0.182355
33.4,0.18623
33.4667,0.189496
33.5333,0.191922
33.6,0.195048
33.6667,0.198017
33.7333,0.199238
33.8,0.201525
33.8667,0.204178
33.9333,0.206254
34,0.209449
34.0667,0.210893
34.1333,0.211732
34.2,0.214432
34.2667,0.21648
34.3333,0.217354
34.4,0.221202
34.4667,0.223082
34.5333,0.224936
34.6,0.231982
34.6667,0.234464
34.7333,0.236403
34.8,0.237741
34.8667,0.239607
34.9333,0.241495
35,0.243239
35.0667,0.244441
35.1333,0.244933
35.2,0.24549
35.2667,0.244851
35.3333,0.244511
35.4,0.24386
35.4667,0.242876
35.5333,0.2432
35.6,0.24446
35.6667,0.244094
