Time(s),Queue Density,Dynamic Density
0.0666667,0.0372012,0
0.133333,0.0363312,0
0.2,0.0367041,0
0.266667,0.0367041,0
0.333333,0.0388583,0
0.4,0.0413025,0
0.466667,0.042711,0
0.533333,0.0439538,0
0.6,0.0441609,0
0.666667,0.0459008,0
0.733333,0.0447409,0
0.8,0.0464808,0
0.866667,0.0475165,0
0.933333,0.0493807,0
1,0.0500435,0
1.06667,0.0476822,0
1.13333,0.0487593,0
1.2,0.047475,0
1.26667,0.0474336,0
1.33333,0.0474336,0
1.4,0.0471851,0
1.46667,0.0480964,0
1.53333,0.0497949,0
1.6,0.0488421,0
1.66667,0.0480136,0
1.73333,0.0503749,0
1.8,0.0504163,0
1.86667,0.0527362,0
1.93333,0.0525705,0
2,0.0531091,0
2.06667,0.0545176,0
2.13333,0.054559,0
2.2,0.0546419,0
2.26667,0.0540205,0
2.33333,0.0546004,0
2.4,0.0548076,0
2.46667,0.0552633,0
2.53333,0.0554704,0
2.6,0.0556361,0
2.66667,0.0538548,0
2.73333,0.053979,0
2.8,0.0554704,0
2.86667,0.0544762,0
2.93333,0.0545176,0
3,0.0567961,0
3.06667,0.0566718,0
3.13333,0.0572932,0
3.2,0.0553461,0
3.26667,0.0566718,0
3.33333,0.0571689,0
3.4,0.0565061,0
3.46667,0.0572932,0
3.53333,0.0580389,0
3.6,0.0597788,0
3.66667,0.0607316,0
3.73333,0.0628444,0
3.8,0.0634658,0
3.86667,0.0639629,0
3.93333,0.0678156,0
4,0.0684784,0
4.06667,0.0693484,0
4.13333,0.0703426,0
4.2,0.0696383,0
4.26667,0.0694726,0
4.33333,0.0665728,0
4.4,0.0658685,0
4.46667,0.0657857,0
4.53333,0.0651643,0
4.6,0.0649571,0
4.66667,0.0628858,0
4.73333,0.0628444,0
4.8,0.0642529,0
4.86667,0.06417,0
4.93333,0.0623472,0
5,0.0617258,0
5.06667,0.0609802,0
5.13333,0.0601102,0
5.2,0.0589502,0
5.26667,0.0589502,0
5.33333,0.0597374,0
5.4,0.0621815,0
5.46667,0.0622644,0
5.53333,0.0630101,0
5.6,0.0630929,0
5.66667,0.0640457,0
5.73333,0.0679398,0
5.8,0.0705083,0
5.86667,0.073491,0
5.93333,0.074941,0
6,0.0759352,0
6.06667,0.0764738,0
6.13333,0.0750238,0
6.2,0.0770952,0
6.26667,0.0796636,0
6.33333,0.0773851,0
6.4,0.0781723,0
6.46667,0.0798293,0
6.53333,0.0801607,0
6.6,0.080285,0
