Frame No.,Queue Density
0,0.0450386
0.0666667,0.0435482
0.133333,0.0424595
0.2,0.0438798
0.266667,0.0467047
0.333333,0.0487181
0.4,0.0506885
0.466667,0.0503412
0.533333,0.050946
0.6,0.0530764
0.666667,0.0539348
0.733333,0.053927
0.8,0.0554136
0.866667,0.0564983
0.933333,0.0567675
1,0.0565802
1.06667,0.0565841
1.13333,0.0572435
1.2,0.0580824
1.26667,0.0581605
1.33333,0.0582775
1.4,0.0588003
1.46667,0.0592413
1.53333,0.0594168
1.6,0.0590657
1.66667,0.0614575
1.73333,0.0619608
1.8,0.0642824
1.86667,0.0656988
1.93333,0.0659719
2,0.0659329
2.06667,0.0659602
2.13333,0.0658548
2.2,0.0658626
2.26667,0.0661241
2.33333,0.0666352
2.4,0.0667757
2.46667,0.0660733
2.53333,0.0665025
2.6,0.0661202
2.66667,0.0657651
2.73333,0.0657651
2.8,0.0659524
2.86667,0.0660577
2.93333,0.0641731
3,0.0647779
3.06667,0.065449
3.13333,0.066085
3.2,0.066323
3.26667,0.0667679
3.33333,0.0669005
3.4,0.0669707
3.46667,0.0680359
3.53333,0.0690114
3.6,0.0707126
3.66667,0.0727337
3.73333,0.0740057
3.8,0.0757342
3.86667,0.0773457
3.93333,0.0785982
4,0.0808339
4.06667,0.0804749
4.13333,0.0805335
4.2,0.0801589
4.26667,0.0787698
4.33333,0.0782353
4.4,0.0777046
4.46667,0.0775915
4.53333,0.0776656
4.6,0.0750748
4.66667,0.0757108
4.73333,0.0765965
4.8,0.0762922
4.86667,0.0762571
4.93333,0.0758669
5,0.0753206
5.06667,0.0747393
5.13333,0.0742164
5.2,0.0737599
5.26667,0.0748095
5.33333,0.0752972
5.4,0.0764912
5.46667,0.0773067
5.53333,0.0773886
5.6,0.0804047
5.66667,0.0841817
5.73333,0.0856839
5.8,0.0895662
5.86667,0.0922194
5.93333,0.0931714
6,0.0940376
6.06667,0.0945098
6.13333,0.0954462
6.2,0.0961485
6.26667,0.0941742
6.33333,0.0942561
6.4,0.0955164
6.46667,0.0953408
6.53333,0.0958988
6.6,0.0958637
6.66667,0.0961329
6.73333,0.0964529
6.8,0.0975922
6.86667,0.0969484
6.93333,0.0969796
7,0.0967767
7.06667,0.0967377
7.13333,0.0972918
7.2,0.0990085
7.26667,0.101588
7.33333,0.103117
7.4,0.105427
7.46667,0.108213
7.53333,0.108904
7.6,0.111034
7.66667,0.11128
7.73333,0.111853
7.8,0.112825
7.86667,0.112704
7.93333,0.112017
8,0.112033
8.06667,0.112345
8.13333,0.112556
8.2,0.113235
8.26667,0.113297
8.33333,0.113968
8.4,0.113414
8.46667,0.112497
8.53333,0.112805
8.6,0.112563
8.66667,0.112462
8.73333,0.111978
8.8,0.11135
8.86667,0.111291
8.93333,0.110882
9,0.111428
9.06667,0.111213
9.13333,0.111483
9.2,0.112095
9.26667,0.111939
9.33333,0.111904
9.4,0.111588
9.46667,0.111955
9.53333,0.112485
9.6,0.112755
9.66667,0.112602
9.73333,0.112727
9.8,0.113258
9.86667,0.113391
9.93333,0.113371
10,0.112981
10.0667,0.111861
10.1333,0.112013
10.2,0.111085
10.2667,0.110745
10.3333,0.110702
10.4,0.108326
10.4667,0.108486
10.5333,0.108049
10.6,0.10849
10.6667,0.108037
10.7333,0.108299
10.8,0.107955
10.8667,0.106863
10.9333,0.107179
11,0.106691
11.0667,0.106324
11.1333,0.106274
11.2,0.105376
11.2667,0.101767
11.3333,0.101787
11.4,0.101494
11.4667,0.101642
11.5333,0.101642
11.6,0.101634
11.6667,0.101506
11.7333,0.102255
11.8,0.101822
11.8667,0.101463
11.9333,0.10188
12,0.102169
12.0667,0.10204
12.1333,0.102153
12.2,0.101841
12.2667,0.102466
12.3333,0.102828
12.4,0.102025
12.4667,0.101767
12.5333,0.102196
12.6,0.102653
12.6667,0.102579
12.7333,0.102668
12.8,0.102118
12.8667,0.102087
12.9333,0.1022
13,0.102528
13.0667,0.102758
13.1333,0.102579
13.2,0.102676
13.2667,0.102949
13.3333,0.103117
13.4,0.103281
13.4667,0.103484
13.5333,0.103835
13.6,0.103956
13.6667,0.103433
13.7333,0.103574
13.8,0.103675
13.8667,0.103382
13.9333,0.103574
14,0.10442
14.0667,0.104381
14.1333,0.104249
14.2,0.103866
14.2667,0.103894
14.3333,0.10364
14.4,0.103242
14.4667,0.103164
14.5333,0.103515
14.6,0.101779
14.6667,0.102263
14.7333,0.102836
14.8,0.101463
14.8667,0.101311
14.9333,0.101556
15,0.101638
15.0667,0.101619
15.1333,0.101927
15.2,0.101865
15.2667,0.101716
15.3333,0.10174
15.4,0.101841
15.4667,0.102508
15.5333,0.10302
15.6,0.103909
15.6667,0.103624
15.7333,0.103379
15.8,0.102563
15.8667,0.101127
15.9333,0.100624
16,0.0999645
16.0667,0.099785
16.1333,0.0997889
16.2,0.0996914
16.2667,0.0982204
