Time(s),Queue Density
0.0666667,0.0450933
0.133333,0.0436067
0.2,0.0425142
0.266667,0.0439266
0.333333,0.0467359
0.4,0.048761
0.466667,0.0507197
0.533333,0.0503724
0.6,0.0509616
0.666667,0.0530959
0.733333,0.0539465
0.8,0.0539504
0.866667,0.0554292
0.933333,0.0565139
1,0.0567909
1.06667,0.0565958
1.13333,0.0565841
1.2,0.0571811
1.26667,0.0580668
1.33333,0.0580824
1.4,0.0583126
1.46667,0.0587691
1.53333,0.0593037
1.6,0.0594051
1.66667,0.0590696
1.73333,0.0614497
1.8,0.0619452
1.86667,0.0642551
1.93333,0.0656675
2,0.0659407
2.06667,0.0659134
2.13333,0.0659563
2.2,0.0658431
2.26667,0.0658626
2.33333,0.0661241
2.4,0.0666352
2.46667,0.0667054
2.53333,0.0660967
2.6,0.0664947
2.66667,0.066128
2.73333,0.065808
2.8,0.0656831
2.86667,0.0659329
2.93333,0.0661006
3,0.0640561
3.06667,0.0647116
3.13333,0.0654881
3.2,0.0660889
3.26667,0.0662879
3.33333,0.0666625
3.4,0.0668576
3.46667,0.0668966
3.53333,0.0681062
3.6,0.0690699
3.66667,0.0705994
3.73333,0.0726479
3.8,0.0740135
3.86667,0.0756406
3.93333,0.0772637
4,0.0785162
4.06667,0.0807207
4.13333,0.0803579
4.2,0.0804515
4.26667,0.080073
4.33333,0.0786489
4.4,0.0781065
4.46667,0.0775993
4.53333,0.0774861
4.6,0.0775525
4.66667,0.0750085
4.73333,0.0756094
4.8,0.0764873
4.86667,0.0762102
4.93333,0.0761868
5,0.0757771
5.06667,0.0752114
5.13333,0.0746378
5.2,0.0741228
5.26667,0.0736546
5.33333,0.0747432
5.4,0.0752153
5.46667,0.0764366
5.53333,0.0772598
5.6,0.0773262
5.66667,0.0803501
5.73333,0.0841114
5.8,0.0855863
5.86667,0.0894842
5.93333,0.0921492
6,0.0930934
6.06667,0.0939713
6.13333,0.0944239
6.2,0.0953799
6.26667,0.0960939
6.33333,0.0941898
6.4,0.0942717
6.46667,0.0954696
6.53333,0.0953174
6.6,0.0958442
6.66667,0.0958364
6.73333,0.0960822
6.8,0.0963982
6.86667,0.0975493
