Time(s),Queue Density
0.0666667,0.414552
0.133333,0.414552
0.2,0.414552
0.266667,0.414552
0.333333,0.414552
0.4,0.414552
0.466667,0.414552
0.533333,0.414552
0.6,0.414552
0.666667,0.414552
0.733333,0.414552
0.8,0.414552
0.866667,0.414552
0.933333,0.414552
1,0.414552
1.06667,0.414552
1.13333,0.414552
1.2,0.414552
1.26667,0.414552
1.33333,0.414552
1.4,0.414552
1.46667,0.414552
1.53333,0.414552
1.6,0.414552
1.66667,0.414552
1.73333,0.414552
1.8,0.414552
1.86667,0.414552
1.93333,0.414552
2,0.414552
2.06667,0.414552
2.13333,0.414552
2.2,0.414552
2.26667,0.414552
2.33333,0.414552
2.4,0.414552
2.46667,0.414552
2.53333,0.414552
2.6,0.414552
2.66667,0.414552
2.73333,0.414552
2.8,0.414552
2.86667,0.414552
2.93333,0.414552
3,0.414552
3.06667,0.414552
3.13333,0.414552
3.2,0.414552
3.26667,0.414552
3.33333,0.414552
3.4,0.414552
3.46667,0.414552
3.53333,0.414552
3.6,0.414552
3.66667,0.414552
3.73333,0.414552
3.8,0.414552
3.86667,0.414552
3.93333,0.414552
4,0.414552
4.06667,0.414552
4.13333,0.414552
4.2,0.414552
4.26667,0.414552
4.33333,0.414552
4.4,0.414552
4.46667,0.414552
4.53333,0.414552
4.6,0.414552
4.66667,0.414552
4.73333,0.414552
4.8,0.414552
4.86667,0.414552
4.93333,0.414552
5,0.414552
5.06667,0.414552
5.13333,0.414552
5.2,0.414552
5.26667,0.414552
5.33333,0.414552
5.4,0.414552
5.46667,0.414552
5.53333,0.414552
5.6,0.414552
5.66667,0.414552
5.73333,0.414552
5.8,0.414552
5.86667,0.414552
5.93333,0.414552
6,0.414552
6.06667,0.414552
6.13333,0.414552
6.2,0.414552
6.26667,0.414552
6.33333,0.414552
6.4,0.414552
6.46667,0.414552
6.53333,0.414552
6.6,0.414552
6.66667,0.414552
6.73333,0.414552
6.8,0.414552
6.86667,0.414552
6.93333,0.414552
7,0.414552
7.06667,0.414552
